original_harvest_year,chosen_harvest_year,original_faustmann_hurdle,chosen_faustmann_hurdle,squared_error
30,32,0.05211467110663253,0.049998928786373305,4.476365565735892e-06
31,32,0.05101925932025255,0.049998928786373305,1.0410743983663076e-06
32,32,0.049998928786373305,0.049998928786373305,0.0
33,32,0.04904661827559081,0.049998928786373305,9.068953089468213e-07
34,32,0.04815612189561165,0.049998928786373305,3.3959372366386357e-06
35,38,0.04732196331857121,0.0451116244481459,4.8855979221130545e-06
36,38,0.046539291569599475,0.0451116244481459,2.038233409679542e-06
37,38,0.04580379418415705,0.0451116244481459,4.79098943449751e-07
38,38,0.0451116244481459,0.0451116244481459,0.0
39,38,0.04445934012658728,0.0451116244481459,4.2547483615118403e-07
40,38,0.04384385161880483,0.0451116244481459,1.6072479468154578e-06
41,38,0.04326237789046286,0.0451116244481459,3.4197128311025635e-06
42,46,0.04271240885469307,0.04078517574364431,3.7142274643226586e-06
43,46,0.04219167312745062,0.04078517574364431,1.978234890653983e-06
44,46,0.041698110282214554,0.04078517574364431,8.334494717144591e-07
45,46,0.041229846888217285,0.04078517574364431,1.9773242681583722e-07
46,46,0.04078517574364431,0.04078517574364431,0.0
47,46,0.040362537817603204,0.04078517574364431,1.786228165283294e-07
48,46,0.03996050649741866,0.04078517574364431,6.800793656703835e-07
49,46,0.03957777380505111,0.04078517574364431,1.4578194413186175e-06
50,46,0.039213138301326556,0.04078517574364431,2.471301720048956e-06
51,57,0.038865494441675495,0.03708447257163643,3.1720389015574386e-06
52,57,0.03853382318414583,0.03708447257163643,2.1006171979813714e-06
53,57,0.03821718368110642,0.03708447257163643,1.283034457516736e-06
54,57,0.03791470591150452,0.03708447257163643,6.892873986285147e-07
55,57,0.03762558413174594,0.03708447257163643,2.9280172048414166e-07
56,57,0.03734907104100252,0.03708447257163643,7.001234999087529e-08
57,57,0.03708447257163643,0.03708447257163643,0.0
58,57,0.036831143227966004,0.03708447257163643,6.417575636449031e-08
59,57,0.036588481907187526,0.03708447257163643,2.460067392204686e-07
60,57,0.03635592814524195,0.03708447257163643,5.307769812304617e-07
61,57,0.03613295873804389,0.03708447257163643,9.053785755179782e-07
62,57,0.035919084694992734,0.03708447257163643,1.3581289030281093e-06
63,57,0.03571384848724502,0.03708447257163643,1.8786103807137947e-06
64,73,0.03551682155799174,0.034054044594669645,2.1397164444258085e-06
65,73,0.03532760206607883,0.034054044594669645,1.6219486329821547e-06
66,73,0.0351458128378372,0.034054044594669645,1.1919578967891706e-06
67,73,0.03497109950503497,0.034054044594669645,8.409897086251548e-07
68,73,0.034803128809502364,0.034054044594669645,5.611271609115498e-07
69,73,0.034641587057267755,0.034054044594669645,3.452061453558504e-07
70,73,0.03448617870703359,0.034054044594669645,1.8673989106857483e-07
71,73,0.034336625079554664,0.034054044594669645,7.985173043785221e-08
72,73,0.03419266317599565,0.034054044594669645,1.9215111088833235e-08
73,73,0.034054044594669645,0.034054044594669645,0.0
74,73,0.0339205345367212,0.034054044594669645,1.7824935573397943e-08
75,73,0.03379191089233749,0.034054044594669645,6.871407789836307e-08
76,73,0.03366796339996937,0.034054044594669645,1.4905868890119027e-07
77,73,0.03354849287183537,0.034054044594669645,2.5558254446070713e-07
78,73,0.03343331047968099,0.034054044594669645,3.853108415107491e-07
79,73,0.03332223709538391,0.034054044594669645,5.355422160108465e-07
80,73,0.03321510268154351,0.034054044594669645,7.038235335997361e-07
81,73,0.03311174572767977,0.034054044594669645,8.879271547304057e-07
82,73,0.03301201272809844,0.034054044594669645,1.0858304109498645e-06
83,73,0.03291575769786449,0.034054044594669645,1.2956970594383054e-06
84,101,0.03282284172366878,0.031646665898489156,1.3833895717369777e-06
85,101,0.03273313254667932,0.031646665898489156,1.1804097776295663e-06
86,101,0.032646504174742144,0.031646665898489156,9.996765786605477e-07
87,101,0.032562836521542425,0.031646665898489156,8.393686105458162e-07
88,101,0.03248201507055591,0.031646665898489156,6.978082392726144e-07
89,101,0.03240393056181836,0.031646665898489156,5.734497703270936e-07
90,101,0.03232847869971802,0.031646665898489156,4.6486869591955166e-07
91,101,0.03225555988017582,0.031646665898489156,3.707518809342368e-07
92,101,0.032185078935721735,0.031646665898489156,2.8988859866201115e-07
93,101,0.03211694489710581,0.031646665898489156,2.211623365398812e-07
94,101,0.03205107077019926,0.031646665898489156,1.6354330026286566e-07
95,101,0.03198737332704726,0.031646665898489156,1.1608155187467372e-07
96,101,0.031925772910030986,0.031646665898489156,7.790072389181159e-08
97,101,0.03186619324818325,0.031646665898489156,4.819225726371444e-08
98,101,0.03180856128478123,0.031646665898489156,2.62101161026608e-08
99,101,0.03175280701541113,0.031646665898489156,1.126593670144461e-08
100,101,0.03169886333576503,0.031646665898489156,2.724572458168604e-09
101,101,0.031646665898489156,0.031646665898489156,0.0
102,101,0.03159615297845705,0.031646665898489156,2.5515550901701995e-09
103,101,0.03154726534589004,0.031646665898489156,9.880469857010169e-09
104,101,0.03149994614679263,0.031646665898489156,2.1526685537890817e-08
105,101,0.031454140790211124,0.031646665898489156,3.706591731746768e-08
106,101,0.03140979684186161,0.031646665898489156,5.610694998762245e-08
107,101,0.03136686392370749,0.031646665898489156,7.828914509172131e-08
108,101,0.03132529361909828,0.031646665898489156,1.0328014196088907e-07
109,101,0.03128503938311024,0.031646665898489156,1.3077373662509806e-07
110,101,0.031246056457755775,0.031646665898489156,1.6048792400471153e-07
111,101,0.03120830179175266,0.031646665898489156,1.9216309007488497e-07
112,101,0.031171733964566815,0.031646665898489156,2.2556034185921403e-07
113,101,0.031136313114462345,0.031646665898489156,2.6045996416391667e-07
114,101,0.031102000870311904,0.031646665898489156,2.9665999291932666e-07
115,101,0.031068760286937423,0.031646665898489156,3.3397489586298246e-07
116,101,0.03103655578376751,0.031646665898489156,3.722343520856599e-07
117,101,0.031005353086612477,0.031646665898489156,4.1128212267717207e-07
118,101,0.030975119172371574,0.031646665898489156,4.509750053592417e-07
119,101,0.03094582221649962,0.031646665898489156,4.911818665846469e-07
120,101,0.03091743154307191,0.031646665898489156,5.317827451208069e-07
121,101,0.030889917577296856,0.031646665898489156,5.726680216273645e-07
